0.99,0.01,1.12,-0.57
-0.48,-0.01,0.17,-0.53
-0.29,0.10,0.39,-0.57
-1.21,-0.01,0.02,-1.48
0.13,0.00,0.21,-0.44
-1.10,0.00,0.00,-1.66
-0.40,-0.01,0.22,-0.62
0.27,-0.09,0.60,-0.15
-0.46,0.00,0.22,-0.71
-0.18,0.01,0.25,-0.51
0.65,-0.01,0.73,-0.53
1.26,-0.02,1.57,-0.03
0.00,0.34,0.39,-0.18
-0.34,0.00,0.00,-0.74
0.56,0.01,0.91,-0.07
0.20,0.00,0.28,-0.32
-0.12,-0.01,0.44,-0.57
-0.26,0.14,0.25,-0.32
-0.01,0.00,0.44,-0.38
0.11,0.00,0.43,-0.31
0.08,0.00,0.42,-0.73
0.06,0.00,0.24,-0.17
-0.24,-0.11,0.25,-0.79
0.11,0.00,0.17,-0.21
1.76,0.00,2.19,-0.03
0.58,0.00,1.03,-0.28
-0.01,0.00,0.39,-0.25
-0.11,-0.14,0.28,-0.19
0.54,0.00,0.64,-0.32
0.58,-0.10,0.75,-0.22
0.29,0.06,0.61,-0.19
0.93,0.00,1.01,-0.14
-0.35,-0.09,-0.01,-0.56
-0.68,0.00,0.01,-0.75
-0.46,0.00,0.66,-0.52
0.23,0.00,0.34,-0.41
-0.26,0.00,0.38,-0.33
0.03,-0.10,0.46,-0.14
0.03,0.00,0.21,-0.69
0.08,0.00,0.50,-0.44
