118.45,117.97,118.82,117.86
117.61,118.52,118.87,116.94
116.89,117.51,117.84,116.40
115.68,116.66,116.79,115.13
116.52,115.53,116.75,115.20
116.08,116.55,116.92,115.96
117.13,116.08,117.50,115.53
118.25,117.11,118.39,117.01
117.67,118.33,118.53,117.20
116.09,117.64,117.77,116.03
117.06,116.21,117.16,115.74
117.49,117.06,117.79,117.00
116.69,117.49,117.54,116.49
117.55,116.31,117.78,116.23
117.28,117.65,118.03,116.90
117.61,117.25,117.97,117.14
118.10,117.52,118.34,117.22
118.09,118.09,118.26,117.38
118.10,117.88,118.44,117.62
117.88,118.08,118.41,117.64
116.83,117.84,118.00,116.35
118.06,116.91,118.10,116.65
117.79,118.06,118.40,117.19
117.81,117.51,118.08,117.43
118.96,117.84,118.99,117.70
118.64,118.94,119.10,118.53
118.74,118.66,119.01,118.41
119.28,118.71,119.41,118.64
119.35,119.24,119.40,119.16
119.07,119.30,119.35,118.74
119.38,119.02,119.56,118.85
119.15,119.33,119.53,118.78
119.26,119.11,119.57,118.19
119.75,119.41,119.89,118.96
118.93,119.75,119.84,118.80
118.59,118.89,119.03,118.09
118.45,118.46,118.61,117.59
118.72,118.45,118.98,118.23
118.56,118.70,119.06,118.21
118.53,118.62,118.95,118.22
