81.27,80.88,81.41,80.80
80.64,81.27,81.48,80.51
80.34,80.68,80.83,80.11
79.46,80.34,80.36,78.49
78.86,79.46,79.57,78.66
79.01,78.86,79.60,78.47
79.14,79.01,79.28,78.99
79.04,79.07,79.18,78.95
79.18,79.04,79.28,78.82
78.82,79.18,79.32,78.71
78.56,78.82,79.02,78.23
78.54,78.56,78.72,78.29
78.31,78.39,78.55,78.06
77.99,78.31,78.56,77.83
77.94,77.99,78.17,77.58
77.83,77.94,78.03,77.63
76.76,77.83,77.87,76.74
77.57,77.35,78.04,76.31
77.30,77.57,77.78,76.96
77.14,77.30,77.38,76.79
79.08,77.14,80.24,77.01
78.47,79.08,79.41,78.33
77.68,78.25,78.34,77.50
77.14,77.68,77.71,76.71
76.82,77.14,77.15,76.36
76.94,76.82,77.22,76.31
76.68,76.94,77.02,76.52
76.82,76.87,77.08,76.59
76.74,76.82,76.93,76.65
76.62,76.74,76.80,76.41
76.64,76.62,76.71,76.45
76.55,76.64,76.97,75.97
76.93,76.85,77.19,76.56
76.66,76.93,76.93,76.47
77.02,76.66,77.08,76.48
77.40,77.02,77.70,76.84
76.67,77.40,77.46,76.50
76.95,76.76,77.02,76.58
76.72,76.95,76.95,76.62
76.76,76.72,76.84,76.43
